カテゴリ,組織名,タイトル,概要,テーマ,リンク,担当者
医療・介護・製薬,富士フイルム株式会社,"患者情報文書案を生成AIで自動作成する技術を開発 | 富士フイルム [日本] -
                                                                Fujifilm","富士フイルム株式会社が、患者の検査結果や治療履歴をまとめた医療文書「サマリ」の文案を生成AI（大規模言語モデル）で自動作成・提示する「サマリ作成支援AI技術」を開発しました。本技術は、富士フイルムメディカル株式会社が提供する診療文書管理・診療業務支援ソリューション「Yahgee」の新機能として今夏発売予定で、医療従事者の文書作成業務負荷を平均42%、最大60%短縮し、年間約2,700時間の作業時間削減効果が見込まれています。",業務プロセス改善,fujifilm.com/jp/…/12563 (https://www.fujifilm.com/jp/ja/news/list/12563),K kosuke takaki
AI,"GVA
                                                                    TECH株式会社",「弁護士のための生成AI実践コミュニティ」の参加者200名を突破！第1回オフライン会で,"GVA
                                                                TECH株式会社が、弁護士向けの「生成AI実践コミュニティ」の参加者が200名を突破したことを発表。このコミュニティは、弁護士が生成AIに関する実践的知見を学び、法律実務におけるAI活用のノウハウ共有を通じて、AI共存時代の法的課題解決と弁護士業界の発展に貢献することを目的としている。",個人の生産性向上 業務プロセス改善 既存事業の価値向上,prtimes.jp/mai…6.html (https://prtimes.jp/main/html/rd/p/000000340.000033386.html),田中宏明
金融・保険,株式会社三井住友フィナンシャルグループ,クリエイティブに挑むSMBCの挑戦！その裏側に迫る〜生成AIと人との共創プロジェクトが ...,三井住友フィナンシャルグループ（SMBC）は、生成AIと人との共創により映像作品「オズの魔法使い」を制作・公開しました。本記事では、このプロジェクトにおける「金融機関ならではの信頼性担保」と「旧来の固定観念にとらわれない新しい挑戦」の両立に向けた舞台裏に迫ります。特に、AI生成動画の炎上事例を鑑み、プロンプトの保存、著作権侵害防止のための類似性検証システム開発、炎上リスク分析といった厳格なリスクチェックプロセスをゼロから構築した点が詳述されています。また、多様な人材が在籍するデジタル戦略部が、社内外の協力者と連携し、多くの部門との調整を経てプロジェクトを成功させた経緯が語られています。SMBCはAI活用に対し500億円の予算を確保し、AIに特化して新規事業創出を行うチームを新設するなど、積極的な投資とチャレンジを続けています。,既存事業の価値向上 新規事業の創出,prtimes.jp/sto…8SyM8r (https://prtimes.jp/story/detail/oro3e8SyM8r),S saeki kazuhiro
製造 テクノロジー,大日本印刷株式会社,"DNP AI審査サービスに生成AIによるファクトチェック機能を追加 | ニュース | DNP
                                                                大日本印刷","大日本印刷株式会社（DNP）が提供する「DNP
                                                                AI審査サービス」に、生成AIを活用したファクトチェック機能と、共同通信社「記者ハンドブック」に基づく文書チェック機能を追加。これにより、統合報告書やニュースリリースなど企業が発行する各種文書の正確性を高め、校正・校閲業務の効率化を支援する。",業務プロセス改善,dnp.co.jp/new…7.html (https://www.dnp.co.jp/news/detail/20177005_1587.html),茨 茨木雄太
通信・ネットワーク テクノロジー,LINEヤフー株式会社,"Yahoo!きっず、生成AIを学習しながらオリジナルのゲームを作れる 子ども向け ... - LY
                                                                Corporation",LINEヤフー株式会社は、子ども向けポータルサイト「Yahoo!きっず」で、生成AIを活用してオリジナルのゲームを作成できる「AIでゲームつくりエイター」の提供を開始しました。このサービスは、生成AIの基礎となるプロンプトの設計方法や創造的工夫ポイントを遊びながら学べるもので、子どもたちのクリエイティブ思考と生成AIリテラシーの育成を支援します。,既存事業の価値向上 新規事業の創出,lycorp.co.jp/ja/…18097/ (https://www.lycorp.co.jp/ja/news/release/018097/),茨 茨木雄太
テクノロジー 通信・ネットワーク,"ソフトバンクグループ株式会社,ソフトバンク株式会社","大学生・大学院生・高等専門学校生を対象とした「ソフトバンク生成AI活用アイデアコンテスト
                                                                ...","ソフトバンクグループ株式会社とソフトバンク株式会社は、大学生・大学院生・高等専門学校生を対象に、生成AIやAIエージェントを活用した革新的なアイデアを発掘する「ソフトバンク生成AI活用アイデアコンテスト」を2025年8月から開催することを発表しました。このコンテストは、日本における生成AIおよびAIエージェントのさらなる浸透と活用加速を目指すもので、最優秀賞には1,000万円、賞金総額は約2,000万円が用意されています。応募されたアイデアの知的財産権は運営者を通してソフトバンクグループ株式会社に譲渡され、特許出願の検討も行われます。",新規事業の創出 既存事業の価値向上,group.softbank/new…250711 (https://group.softbank/news/press/20250711),茨 茨木雄太
テクノロジー AI,株式会社デジタルキューブ,"上場準備クラウド「FinanScope」が生成AI機能を実装 | 株式会社デジタルキューブ -
                                                                アットプレス",株式会社デジタルキューブは、上場準備クラウド「FinanScope」に生成AI機能を実装しました。これにより、IPO申請書類の作成業務を50%効率化し、専門知識がなくても精度の高い書類作成が可能になります。自動原稿生成機能、多角化企業・グループ企業対応、安定した処理システムを提供し、作業時間の大幅短縮、コスト削減、人材活用の拡大を実現します。,業務プロセス改善,atpress.ne.jp/news/442066 (https://www.atpress.ne.jp/news/442066),田中宏明
通信・ネットワーク,ソフトバンク株式会社,データ×AIで福島の魅力を再発見。博報堂テクノロジーズとソフトバンクがハッカソンを共催,"ソフトバンク株式会社は博報堂テクノロジーズ株式会社と共同で、「データ×AIを活用して福島の魅力を伝える」をテーマにしたハッカソンを開催しました。このハッカソンでは、AIがユーザーの気分や好みに合わせて日本酒を提案し、それに合う酒器のデザインを生成するサービスなど、福島の新たな魅力を発見・創造するユニークなAI活用アイデアが多数発表されました。また、ソフトバンクのAIデータ作成ツール「TASUKI
                                                                Annotation」も開発に活用され、効率的なプロジェクト推進に貢献しました。",新規事業の創出 既存事業の価値向上 業務プロセス改善,softbank.jp/sbn…710_01 (https://www.softbank.jp/sbnews/entry/20250710_01),茨 茨木雄太
テクノロジー,株式会社ゼネテック,"生成AIを活用したQ&amp;Aシステム「MorsonSmartQ&amp;A」日本老年看護学会で紹介
                                                                - PR TIMES","株式会社ゼネテックのグループ会社である株式会社モアソンジャパンが開発した生成AI活用Q&Aシステム「MorsonSmartQ&A」が日本老年看護学会で研究事例として紹介されました。このシステムはRAG（Retrieval-Augmented
                                                                Generation）を採用し、看護・介護現場で蓄積されたQ&Aデータやガイドラインに基づき、ハルシネーションを抑制し正確な回答を提供します。浜松医科大学での試験運用では、認知症高齢者ケアにおけるカンファレンスの活性化、多職種間での対応統一、QOL向上への貢献が期待されています。2025年9月の製品化に向け、技術的なブラッシュアップと他業界への展開が計画されています。",個人の生産性向上 業務プロセス改善 既存事業の価値向上 新規事業の創出,prtimes.jp/mai…2.html (https://prtimes.jp/main/html/rd/p/000000148.000010332.html),田中宏明
AI テクノロジー,"株式会社ブレインパッド,
                                                                    ジオテクノロジーズ株式会社","ブレインパッド、ジオテクノロジーズと 「生成AI×地理空間データ」の共同研究を開始 -
                                                                アットプレス","株式会社ブレインパッドとジオテクノロジーズ株式会社が、「生成AI×地理空間データ」を組み合わせた自然言語による新しい空間検索体験の実現に向けた共同研究を開始しました。ブレインパッドはこれに先立ち、マルチモーダルAIと衛星画像を組み合わせた衛星データソリューション「Orbital
                                                                Sense」を開発・公開し、あいまいな指示からの地域検索を可能にしています。本研究は、地図サービスの利便性向上や地図制作の業務効率化、カーナビ・GIS・都市計画、不動産分野への応用が期待され、2026年の製品化を目指しています。",既存事業の価値向上 新規事業の創出 業務プロセス改善,atpress.ne.jp/news/442209 (https://www.atpress.ne.jp/news/442209),田中宏明
テクノロジー,ビッグローブ株式会社,"BIGLOBE、オフラインの生成AIでプロジェクト報告書を自動生成する実証実験を開始 -
                                                                ニュース","ビッグローブ株式会社が、日本HP、Workstyle
                                                                Evolution、WEELと共同で、プロジェクト報告書作成業務を生成AIで自動化する実証実験を開始した。",業務プロセス改善 既存事業の価値向上,biglobe.co.jp/pre…0709-a (https://www.biglobe.co.jp/pressroom/release/2025/07/250709-a),茨 茨木雄太
コンサル・士業,PwCコンサルティング合同会社,このままでいいのかAI活用：価値向上につながらないAIのワナ | PwC Japanグループ,AIの利活用に対する日本企業の慎重な姿勢と、米国企業との間に生じる格差について解説し、AIガバナンスやリスク管理の重要性を紹介する記事。,業務プロセス改善 既存事業の価値向上,pwc.com/jp/…4.html (https://www.pwc.com/jp/ja/knowledge/newsletters/hpls-newsletter/back-number2504.html),K kosuke takaki
テクノロジー,株式会社メタリアル,"【メタリアル・グループ】生成AI価値観偏差AIエージェント「Metareal エシック ... - PR
                                                                TIMES","株式会社メタリアルが生成AI価値観偏差AIエージェント「Metareal
                                                                エシックアライン」を7月8日に提供開始した。",業務プロセス改善 新規事業の創出,prtimes.jp/mai…2.html (https://prtimes.jp/main/html/rd/p/000000180.000085762.html),田中宏明
公共・自治体,独立行政法人情報処理推進機構,"SDS技術コラム：AIエージェント | 社会・産業のデジタル変革 | IPA 独立行政法人
                                                                情報処理推進機構",情報処理推進機構がAIエージェントに関する技術コラムを公開し、AIエージェントの特徴や期待される役割を紹介。,業務プロセス改善 新規事業の創出,ipa.go.jp/dig…t.html (https://www.ipa.go.jp/digital/kaihatsu/sds-column/ai-agent.html),S saeki kazuhiro
サービス業,株式会社マイナビ,"【社会実装】ELYZAが「マイナビAI Pencil」へ生成AI関連技術を提供・共同開発 -
                                                                note","株式会社マイナビが「マイナビ転職」アプリ上で提供を開始した「マイナビAI
                                                                Pencil」へ、ELYZAが生成AI関連技術の提供・共同開発を行った事例。",業務プロセス改善 既存事業の価値向上,note.com/ely…3b2770 (https://note.com/elyza/n/n26b2bc3b2770),茨 茨木雄太
テクノロジー,日本電気株式会社,NEC、生成AI「cotomi」の性能強化でAIエージェントの活用を加速～業務の更なる高度化を目指す,NECは生成AI「cotomi」の性能を強化し、AIエージェントの活用を促進することで業務の高度化を図る。,業務プロセス改善 既存事業の価値向上,prtimes.jp/mai…9.html (https://prtimes.jp/main/html/rd/p/000000989.000078149.html),田中宏明
テクノロジー,双日テックイノベーション株式会社,"双日テックイノベーション、エンタープライズ向け 統合生成AIサービス「Natic
                                                                AI-Navi」をリリース","双日テックイノベーション株式会社は、エンタープライズ向けの統合生成AIサービス「Natic
                                                                AI-Navi」をリリースしました。このサービスは、生成AIの導入から活用支援、人材育成、インフラ構築までをワンストップで提供し、企業のAI活用を支援します。",業務プロセス改善 既存事業の価値向上,atpress.ne.jp/news/441586 (https://www.atpress.ne.jp/news/441586),田中宏明
テクノロジー,株式会社FIXER,"GaiXer、仙台市の「仙台市生成AI導入実証等業務」案件で採用 |
                                                                株式会社FIXERのプレスリリース",株式会社FIXERが提供する生成AIサービス「GaiXer」が仙台市の「仙台市生成AI導入実証等業務」案件に採用された。,業務プロセス改善 既存事業の価値向上,prtimes.jp/mai…6.html (https://prtimes.jp/main/html/rd/p/000000114.000009536.html),田中宏明
テクノロジー,株式会社FIXER,GaiXer、仙台市の「仙台市生成AI導入実証等業務」案件で採用 - 株式会社FIXER,株式会社FIXERが提供する生成AIサービス「GaiXer」が仙台市の「仙台市生成AI導入実証等業務」案件で採用された。,業務プロセス改善 既存事業の価値向上,fixer.co.jp/new…aixer/ (https://fixer.co.jp/news/2025/07/2025_0707_001_sendai_city_gaixer/),K kosuke takaki
建設・不動産,"パナソニック
                                                                    ホームズ株式会社",パナソニック ホームズ、オーナー訪問に生成AI 活用,"パナソニック
                                                                ホームズは、住宅オーナーに寄り添ったアフターサービスを提供するために、訪問対応支援システム「P-GAIROS」を開発し、2025年7月4日から運用を開始した。このシステムはオーナーの物件情報や対応履歴を統合し、生成AIを活用して最適な提案を行う。",業務プロセス改善 既存事業の価値向上,homes.panasonic.com/com…4.html (https://homes.panasonic.com/company/news/release/2025/0704.html),茨 茨木雄太
交通・物流,株式会社商船三井,"世界初 “発電船から電力供給する洋上データセンター”を共同開発 ～AI需要に対応するデジタル
                                                                ...",商船三井が発電船から電力供給する洋上データセンターを共同開発することを発表。AI需要に対応したデジタルインフラの提供を目指す。,業務プロセス改善 新規事業の創出,mol.co.jp/pr/…1.html (https://www.mol.co.jp/pr/2025/25061.html),茨 茨木雄太
テクノロジー,"パナソニック
                                                                    コネクト株式会社",パナソニックコネクト、「聞く」から「頼む」へシフトしたAI活用で年間44.8万時間の削減を達成,"パナソニック
                                                                コネクト株式会社がAIアシスタントサービス「ConnectAI」を導入し、年間44.8万時間の業務時間削減を達成したことを発表した。",業務プロセス改善 既存事業の価値向上,news.panasonic.com/jp/…0707-2 (https://news.panasonic.com/jp/press/jn250707-2),茨 茨木雄太
サービス業,株式会社マイナビ,"生成AIを活用した新たな自己PR文提案サービス 「マイナビAI
                                                                Pencil」を『マイナビ転職』で提供開始",マイナビが生成AIを活用した自己PR文提案サービス「マイナビAI Pencil」を提供開始。,業務プロセス改善 既存事業の価値向上,mynavi.jp/new…3.html (https://www.mynavi.jp/news/2025/07/post_49493.html),茨 茨木雄太
テクノロジー,株式会社MIXI,"MIXI、Google Cloudの「Google Agentspace」を全社導入 | ニュース|
                                                                株式会社MIXI","株式会社MIXIがGoogle Cloudの生成AIプラットフォーム「Google
                                                                Agentspace」を全従業員に導入し、業務効率化を進める取り組みを発表した。",業務プロセス改善 既存事業の価値向上,mixi.co.jp/new…42850/ (https://mixi.co.jp/news/2025/0707/42850/),K kosuke takaki
メディア・広告・出版,株式会社電通,"国内電通グループ、「dentsu Japan AIセンター」を発足 - News（ニュース） -
                                                                電通ウェブサイト","国内電通グループの5社がAI活用・開発の中核を担う「dentsu Japan
                                                                AIセンター」を発足し、企業変革の加速に貢献する。",業務プロセス改善 既存事業の価値向上,dentsu.co.jp/new…9.html (https://www.dentsu.co.jp/news/release/2025/0707-010909.html),田中宏明
金融・保険,コインベース株式会社,"AIとWeb3を使った開発、思ったより簡単 | CoinDesk
                                                                JAPAN（コインデスク・ジャパン）",AI（人工知能）とWeb3を組み合わせた開発が簡単であることを示すブートキャンプの様子が紹介されている。コインベースが提供するAgentKitを使用した開発が注目されている。,業務プロセス改善 既存事業の価値向上,coindeskjapan.com/290952/ (https://www.coindeskjapan.com/290952/),K kosuke takaki
メディア・広告・出版,"株式会社PR
                                                                    TIMES",AI、人材育成、老舗が急伸 PR TIMES上半期ランキングに映る企業の“今” - coki,"2025年上半期の企業発表分析において、AIや人材育成が急上昇していることを示すPR
                                                                TIMESのプレスリリースランキングが発表された。",業務プロセス改善 既存事業の価値向上,coki.jp/art…55233/ (https://coki.jp/article/column/55233/),田中宏明
公共・自治体,"参議院議員
                                                                    山田太郎",生成AIと著作権その他の知的財産権保護 - 参議院議員 山田太郎 公式webサイト,生成AIによる著作権や知的財産権の問題について、山田太郎が政府と連携し対策を講じた事例を紹介しています。,業務プロセス改善 既存事業の価値向上,taroyamada.jp/cat…46417/ (https://taroyamada.jp/cat-expression/post-46417/),S saeki kazuhiro
通信・ネットワーク,"NVIDIA
                                                                    Corporation",欧州の主要通信事業者が NVIDIA と協力し、地域企業向けの AI インフラを構築,欧州の主要通信事業者がNVIDIAと協力して、地域企業向けのAIインフラを構築する取り組みを発表しました。これにはOrange、Fastweb、Swisscom、Telefónica、Telenorが含まれ、安全で持続可能なAIインフラを拡張することを目的としています。,業務プロセス改善 新規事業の創出,blogs.nvidia.co.jp/blo…ories/ (https://blogs.nvidia.co.jp/blog/european-telcos-ai-factories/),S saeki kazuhiro
サービス業,アデコ株式会社,AIは指示型から自律型に変化。AIの成果を引き出す「モーター」型人財の獲得がカギに,日本企業のAI活用の実態や今後のAIの進化と企業経営の関係について、慶應義塾大学教授の栗原聡氏が語る内容。,業務プロセス改善 既存事業の価値向上,adeccogroup.jp/pow…rk/358 (https://www.adeccogroup.jp/power-of-work/358),茨 茨木雄太
テクノロジー,リコージャパン株式会社,"会議まるごと記録サービス「toruno」のAI要約機能付きプランを提供開始 | リコーグループ
                                                                企業・IR","リコージャパン株式会社は、会議まるごと記録サービス「toruno」の法人向けプランの上位プランとして、「toruno
                                                                ビジネス AI要約プラン」を提供開始します。",業務プロセス改善 既存事業の価値向上,jp.ricoh.com/rel…0704_1 (https://jp.ricoh.com/release/2025/0704_1),K kosuke takaki
メディア・広告・出版,CINRA株式会社,そこに熱意とリスペクトはあるのか？「ジブリ風画像」など生成AIの事例を整理して見えてきたもの,生成AIアートの流行とその影響について考察した記事。ジブリ風画像や音楽制作における生成AIの利用が増加していることを取り上げ、著作権問題やクリエイティブ領域でのAIと人間の作品の違いについて議論されている。,クリエイティブ領域でのAI活用,cinra.net/art…enkmkt (https://www.cinra.net/article/2507-aiandart_ienkmkt),田中宏明
製造,東芝ユニファイドテクノロジーズ株式会社,"ハノーバーメッセ2025に見る製造現場における生成AI活用最前線 | DiGiTAL
                                                                CONVENTiON",ハノーバーメッセ2025での製造業における生成AIの具体的活用事例を紹介し、AIの導入進展を報告する内容。,業務プロセス改善 既存事業の価値向上,global.toshiba/jp/…8.html (https://www.global.toshiba/jp/company/digitalsolution/articles/digicon/2025/78.html),茨 茨木雄太
建設・不動産,"ジョーンズ
                                                                    ラング ラッサル",ウェットからドライへ：AIがラボ設計を変革する方法 - JLL,AIがラボ設計を変革する方法についてのインサイト。特に、生成AIが薬物発見において年間280億ドルの価値を生み出す可能性があると推定されている。,業務プロセス改善 既存事業の価値向上,jll.com/ja-…design (https://www.jll.com/ja-jp/insights/from-wet-to-dry-how-ai-is-shaking-up-laboratory-design),茨 茨木雄太
小売・流通・商社,LINEヤフー株式会社,Yahoo!ショッピング、生成AIが質問を通じて 商品検索をサポートする機能のβ版を提供開始,LINEヤフー株式会社が運営するYahoo!ショッピングは、生成AIを活用した商品検索サポート機能のβ版を提供開始。ユーザーが質問に答えることでAIが最適な商品を提案し、ショッピング体験を改善することを目的としています。,業務プロセス改善 既存事業の価値向上,lycorp.co.jp/ja/…18030/ (https://www.lycorp.co.jp/ja/news/release/018030/),K kosuke takaki
メディア・広告・出版,ピクスタ株式会社,"PIXTA、生成AIによるコンテンツ制作における注意文を公開 |
                                                                ピクスタ株式会社のプレスリリース",PIXTAは、生成AIによるコンテンツ制作における注意文を公開し、クリエイター向けにAIツール利用時の注意点をまとめたページを新設した。,業務プロセス改善 新規事業の創出,prtimes.jp/mai…3.html (https://prtimes.jp/main/html/rd/p/000000313.000008963.html),田中宏明
メディア・広告・出版,株式会社博報堂,音声ソリューションの開発・提供を担う新会社「博報堂SYNVOICE」の営業を開始,株式会社博報堂は、音声認識技術・音声解析技術・生成AIを活用した顧客応対力の向上を目的としたシステム「博報堂SYNVOICE」を新体制で営業開始した。,業務プロセス改善 既存事業の価値向上,hakuhodo.co.jp/new…17864/ (https://www.hakuhodo.co.jp/news/newsrelease/117864/),田中宏明
金融・保険,SBIインベストメント株式会社,「AI-VC準備室」設立に関するお知らせ - SBIホールディングス,SBIインベストメント株式会社が生成AI技術を活用した次世代型ベンチャーキャピタル体制の構築を目的として「AI-VC準備室」を設立したことを発表。,新規事業の創出 業務プロセス改善,sbigroup.co.jp/new…4.html (https://www.sbigroup.co.jp/news/2025/0701_15544.html),K kosuke takaki
テクノロジー,日本電気株式会社,NEC、生成AIを活用した法規制対応の高度化に向けた社内実証を実施～法規適合業務を変革し,NECは、生成AIを活用して法規制対応業務の高度化を支援するソリューションの実証を行っています。,業務プロセス改善 既存事業の価値向上,prtimes.jp/mai…9.html (https://prtimes.jp/main/html/rd/p/000000977.000078149.html),田中宏明
テクノロジー,GMOインターネット株式会社,"「GMO GPUクラウド」における生成AI開発と活用支援にて協業開始 -
                                                                GMOインターネットグループ","GMOインターネット株式会社と株式会社マクニカが、NVIDIAの技術を活用した「GMO
                                                                GPUクラウド」における生成AI開発と活用支援で協業を開始することを発表。",業務プロセス改善 既存事業の価値向上,gmo.jp/new…/9570/ (https://www.gmo.jp/news/article/9570/),K kosuke takaki
メディア・広告・出版,電通デジタル株式会社,"マーケティングAIエージェントによる新時代の潮流 【第1回】AI Hacked
                                                                Marketing、その進化の最 ...","マーケティングの常識が根底から覆される中、電通デジタルが提唱する「AI Hacked
                                                                Marketing」は、人×AI×データによる新たな3層モデルでマーケティング全プロセスを変革する。",業務プロセス改善 既存事業の価値向上,dentsudigital.co.jp/kno…ing-01 (https://www.dentsudigital.co.jp/knowledge-charge/articles/2025/2025-0701-ai-hacked-marketing-01),田中宏明
エネルギー・インフラ,ENECHANGE株式会社,AIエージェント導入でプロダクト開発を強化 | ENECHANGE株式会社,ENECHANGE株式会社はAIエージェントを導入し、プロダクト開発を強化する取り組みを行っています。,業務プロセス改善 既存事業の価値向上,enechange.co.jp/new…gents/ (https://enechange.co.jp/news/press/ai-agents/),S saeki kazuhiro
交通・物流,アマゾンジャパン合同会社,"Amazonが100万台目のロボットを日本に導入。DeepFleet生成AIモデルによってさらなる効率化を
                                                                ...",Amazonが日本で100万台目のロボットを導入し、DeepFleet生成AIモデルを活用して配送効率を向上させる取り組みを発表。,業務プロセス改善 既存事業の価値向上,aboutamazon.jp/new…-model (https://www.aboutamazon.jp/news/delivery-and-logistics/amazon-million-robots-ai-foundation-model),茨 茨木雄太
テクノロジー,株式会社電通総研,"電通総研、自治体向け生成AIサービス「minnect（ミネクト） AI アシスト」のRAG機能を大幅強化
                                                                ...","電通総研が自治体向け生成AIサービス「minnect（ミネクト） AI
                                                                アシスト」の最新バージョンを提供開始し、機能強化や利用支援を行う。",業務プロセス改善 既存事業の価値向上,isid.co.jp/new…1.html (https://www.isid.co.jp/news/topics/2025/0701.html),K kosuke takaki
メディア・広告・出版,株式会社地域新聞社,生成AIと独自の読者データを活用した「ペルソナデータベース」構築を本格化 - 千葉日報,株式会社地域新聞社が生成AIを活用し、広告効果の最大化や次世代マーケティングを目指した「ペルソナデータベース」の構築を本格化する。,業務プロセス改善 既存事業の価値向上 新規事業の創出,chibanippo.co.jp/prt…462692 (https://www.chibanippo.co.jp/prtimes/1462692),田中宏明
公共・自治体,株式会社総務省,令和6年度「地方自治体におけるAI・RPAの 実証実験・導入状況等調査」等の調査結果の公表,AIを活用したERPA導入に関する取り組みを発表した。,業務プロセス改善,soumu.go.jp/men…4.html (https://www.soumu.go.jp/menu_news/s-news/01ryutsu06_02000454.html),S saeki kazuhiro
テクノロジー,リコージャパン株式会社,"リコージャパン、Difyアカデミック版と教育支援サービスを提供開始 | リコーグループ
                                                                企業・IR",リコージャパン株式会社が教育機関向けに「Difyエンタープライズプラン」のアカデミック版と「Dify教育支援サービス」を提供開始。AIの市民開発を促進し、業務の効率化を目指す。,業務プロセス改善 教育・研究,jp.ricoh.com/rel…0630_1 (https://jp.ricoh.com/release/2025/0630_1),K kosuke takaki
テクノロジー,富士通株式会社,多文化多言語の子どもの生成 AI による教育支援に関する 共同研究を開始,富士通が新しいAI技術を活用したプロジェクトを発表し、その目的や成果について詳述している。,業務プロセス改善 既存事業の価値向上,fujitsu.com/jp/…01.pdf (https://www.fujitsu.com/jp/group/fjj/documents/about/resources/press-releases/2025/0630-01.pdf),K kosuke takaki
メディア・広告・出版,GMOリサーチ＆AI株式会社,"【定点調査（AIトレンド）】生成AIの業務活用には「社内ガイドラインやルールの整備」が必要
                                                                ...",GMOリサーチ＆AI株式会社が実施したAIトレンドに関する自主調査の結果、業務における生成AIの活用状況や企業の方針、必要なサポートについての情報を提供。,業務プロセス改善 既存事業の価値向上,prtimes.jp/mai…6.html (https://prtimes.jp/main/html/rd/p/000004903.000000136.html),田中宏明
メディア・広告・出版,GMOリサーチ＆AI株式会社,"【定点調査（AIトレンド）】生成AIの業務活用には「社内ガイドラインやルールの整備」が必要
                                                                ...",GMOリサーチ＆AI株式会社が実施したAIトレンドに関する自主調査の結果、業務における生成AIの活用状況や企業の方針、必要なサポートについての情報を提供。,業務プロセス改善 既存事業の価値向上,prtimes.jp/mai…6.html (https://prtimes.jp/main/html/rd/p/000004903.000000136.html),田中宏明
テクノロジー,株式会社ラクス,ラクス、生成AI活用に関する社内調査を実施 日々の業務における生成AI活用率は97.9%,株式会社ラクスは、社内調査を実施し、日々の業務における生成AIの活用率が97.9%に達したことを発表した。,業務プロセス改善 既存事業の価値向上,rakus.co.jp/new…0.html (https://www.rakus.co.jp/news/2025/0630.html),K kosuke takaki
医療・介護・製薬,中外製薬株式会社,第9回 900のアイデアを原動力に――中外製薬が実践する生成AI活用とは【前編】 - PwC,中外製薬が全社を挙げて生成AIの業務活用に取り組み、900件を超えるユースケース提案を集めている。DX戦略の全体像や生成AI推進体制の構築について紹介。,業務プロセス改善 既存事業の価値向上,pwc.com/jp/…1.html (https://www.pwc.com/jp/ja/knowledge/column/healthcare-hub/leaders-insignt-motivation-ideas-dx-1.html),K kosuke takaki
コンサル・士業,"デロイト
                                                                    トーマツ グループ","Deloitte Tohmatsu AI Experience Center 共創型AI体験施設 |
                                                                デロイト トーマツ グループ","Deloitte Tohmatsu AI Experience
                                                                Centerは、AIを活用した企業変革を促進するための共創型AI体験施設で、経営者や役員向けに設計されている。",業務プロセス改善 既存事業の価値向上,deloitte.com/jp/…r.html (https://www.deloitte.com/jp/ja/about/ai-experience-center.html),茨 茨木雄太
製造,ＪＸ金属株式会社,組織改正について | 2025年度 - ＪＸ金属,ＪＸ金属が2025年7月1日付で組織改正を行い、AI技術を活用したDX推進を強化することを発表した。,業務プロセス改善,jx-nmm.com/new…2.html (https://www.jx-nmm.com/newsrelease/2025/20250627_2.html),茨 茨木雄太
金融・保険,三井住友DSアセットマネジメント株式会社,日経平均株価は本日朝方40000円台を回復～ここまでの動きと今後の展望,"日経平均株価が生成AIの普及による半導体需要拡大への期待から40,000円台を回復したことを報告。",業務プロセス改善 既存事業の価値向上,smd-am.co.jp/mar…50627/ (https://www.smd-am.co.jp/market/ichikawa/2025/06/irepo250627/),K kosuke takaki
金融・保険,住信SBIネット銀行株式会社,住信SBIネット銀行、「生成AI」を活用し電話チャネルの利用体験向上を推進,住信SBIネット銀行が「生成AI」を活用し、コールセンターの電話窓口にバーチャルアシスタント自動応対を導入し、利用体験の向上を目指す。,業務プロセス改善 顧客体験の向上,sbigroup.co.jp/new…6.html (https://www.sbigroup.co.jp/news/pr/2025/0627_15536.html),K kosuke takaki
製造 教育,トヨタ自動車株式会社,【掲載】本学とトヨタ自動車 が共同で熱拡散を考慮した形状生成AIを開発 日刊工業新聞に掲載,滋賀大学とトヨタ自動車が共同で開発した形状生成AIが、エンジン燃焼室の設計に応用され、熱拡散を考慮していることが紹介された。,業務プロセス改善 既存事業の価値向上,shiga-u.ac.jp/35025/ (https://www.shiga-u.ac.jp/35025/),茨 茨木雄太
テクノロジー,ナイル株式会社,ナイル、従来のコンテンツ制作サービスを生成AI×編集スペシャリストによる成果直結モデルに進化,ナイル株式会社は、生成AIと編集スペシャリストを融合させたコンテンツ制作サービスをリニューアルし、ビジネス成果に直結する高品質な記事を提供することを発表しました。,業務プロセス改善 既存事業の価値向上,prtimes.jp/mai…0.html (https://prtimes.jp/main/html/rd/p/000000596.000055900.html),田中宏明
食品・消費財,シャープ株式会社,ウォーターオーブン「ヘルシオ」＜AX-N1C＞を発売｜ニュースリリース - シャープ,シャープは、生成AI技術を活用したウォーターオーブン「ヘルシオ」の新製品を発売。キャラクターが調理の悩みに応えるサービス「クックトーク」に対応し、ユーザーの調理をサポート。,業務プロセス改善 既存事業の価値向上,corporate.jp.sharp/new…a.html (https://corporate.jp.sharp/news/250626-a.html),茨 茨木雄太
通信・ネットワーク,KDDI株式会社,"KDDIとHPE、25年度内のAIデータセンター稼働開始に向け連携 | KDDI News
                                                                Room",KDDI株式会社と日本ヒューレット・パッカード合同会社（HPE）が連携し、2025年度内にAIデータセンターを稼働開始することを発表した。新しいデータセンターにはNVIDIAの最先端技術が導入され、環境負荷を低減しながら高性能なAI基盤を提供する。,業務プロセス改善 既存事業の価値向上,newsroom.kddi.com/new…5.html (https://newsroom.kddi.com/news/detail/kddi_nr-630_3985.html),S saeki kazuhiro
